path_id,entry_point_id,target_asset_id,hop_sequence,hop_count,path_probability,normalized_score,priority_label,generated_at,explanations,traverses
AP-0045,TP-EXT-PL-A2E704-AUTO-INT-01,SYS-DA27-ECA1,TP-EXT-PL-A2E704-AUTO-INT-01>EXT-PL-A2E704>SYS-DA27-ECA1,1,0.343,1,High,2026-05-20T05:30:42.877Z,entry_likelihood_value(High)=0.7 | attack_success_factor(Medium)=0.7 | source_weight(external)=0.7,SYS-DA27-ECA1
AP-0046,TP-EXT-PL-A2E704-AUTO-INT-01,SYS-DA28-6B3D,TP-EXT-PL-A2E704-AUTO-INT-01>EXT-PL-A2E704>SYS-DA28-6B3D,1,0.343,1,High,2026-05-20T05:30:42.877Z,entry_likelihood_value(High)=0.7 | attack_success_factor(Medium)=0.7 | source_weight(external)=0.7,SYS-DA28-6B3D
AP-0047,TP-EXT-PL-A2E704-AUTO-INT-01,SYS-DA29-9521,TP-EXT-PL-A2E704-AUTO-INT-01>EXT-PL-A2E704>SYS-DA29-9521,1,0.343,1,High,2026-05-20T05:30:42.878Z,entry_likelihood_value(High)=0.7 | attack_success_factor(Medium)=0.7 | source_weight(external)=0.7,SYS-DA29-9521
AP-0048,TP-EXT-PL-A2E704-AUTO-INT-01,SYS-DA7-62ED,TP-EXT-PL-A2E704-AUTO-INT-01>EXT-PL-A2E704>SYS-DA7-62ED,1,0.343,1,High,2026-05-20T05:30:42.878Z,entry_likelihood_value(High)=0.7 | attack_success_factor(Medium)=0.7 | source_weight(external)=0.7,SYS-DA7-62ED
AP-0049,TP-EXT-PL-A2E704-AUTO-INT-01,SYS-DA8-77F8,TP-EXT-PL-A2E704-AUTO-INT-01>EXT-PL-A2E704>SYS-DA8-77F8,1,0.343,1,High,2026-05-20T05:30:42.88Z,entry_likelihood_value(High)=0.7 | attack_success_factor(Medium)=0.7 | source_weight(external)=0.7,SYS-DA8-77F8
AP-0050,TP-EXT-PL-A2E704-AUTO-INT-01,SYS-DA9-228C,TP-EXT-PL-A2E704-AUTO-INT-01>EXT-PL-A2E704>SYS-DA9-228C,1,0.343,1,High,2026-05-20T05:30:42.881Z,entry_likelihood_value(High)=0.7 | attack_success_factor(Medium)=0.7 | source_weight(external)=0.7,SYS-DA9-228C
AP-0051,TP-EXT-PL-A8C6D8-AUTO-ING-01,SYS-DA6-896E,TP-EXT-PL-A8C6D8-AUTO-ING-01>EXT-PL-A8C6D8>SYS-DA6-896E,1,0.343,1,High,2026-05-20T05:30:42.882Z,entry_likelihood_value(High)=0.7 | attack_success_factor(Medium)=0.7 | source_weight(external)=0.7,SYS-DA6-896E
AP-0052,TP-EXT-PL-A8C6D8-AUTO-INT-01,SYS-DA6-896E,TP-EXT-PL-A8C6D8-AUTO-INT-01>EXT-PL-A8C6D8>SYS-DA6-896E,1,0.343,1,High,2026-05-20T05:30:42.882Z,entry_likelihood_value(High)=0.7 | attack_success_factor(Medium)=0.7 | source_weight(external)=0.7,SYS-DA6-896E
AP-0053,TP-EXT-PL-E5EACE-AUTO-ING-01,SYS-DA4-3B2A,TP-EXT-PL-E5EACE-AUTO-ING-01>EXT-PL-E5EACE>SYS-DA4-3B2A,1,0.343,1,High,2026-05-20T05:30:42.886Z,entry_likelihood_value(High)=0.7 | attack_success_factor(Medium)=0.7 | source_weight(external)=0.7,SYS-DA4-3B2A
AP-0054,TP-EXT-PL-E5EACE-AUTO-ING-01,SYS-DA5-8760,TP-EXT-PL-E5EACE-AUTO-ING-01>EXT-PL-E5EACE>SYS-DA5-8760,1,0.343,1,High,2026-05-20T05:30:42.887Z,entry_likelihood_value(High)=0.7 | attack_success_factor(Medium)=0.7 | source_weight(external)=0.7,SYS-DA5-8760
